날짜,메뉴1,메뉴2,메뉴3,메뉴4,비고,평균기온,강수량(mm),선호도,잔반량(kg)
24.04.01,스팸부대찌개,새우까스,콘소스,힘내파인애플씨,,12.7,3,85,10.14
24.04.02,닭칼국수,고기&김치만두,덴마크요구르트,,,13,17.6,89,10.45
24.04.03,유부주머니어묵탕,땡초돈육미니짜장,쥬시쿨,,,13.2,57.5,76,9.27
24.04.04,한국식마라탕,돈육탕수육강정,골드키위퓨레,,,13.2,88,75,7.32
24.04.05,사굴우거지국,훈제오리볶음,바나나우유,,,13,3.2,67,8.89
24.04.08,맑은육개장,오삼불고기/파채,고마워감귤씨,,,16.2,0,74,8.97
24.04.09,뼈없는감자탕,모둠소시지볶음,떠먹는요구르트,,,13.3,5.5,74,9.04
24.04.10,,,,,22대 국회의원 선거,,,,
24.04.11,소고기샤브국,파인함박스테이크,썬업레드,,,13.4,7,73,9.17
24.04.12,미니김치우동,참치마요주먹밥,용가리치킨,두유,,12,0,87,8.82
24.04.15,삼겹김치찌개,떡갈비볶음,도시락김,티즐제로,,15.2,3,82,9.52
24.04.16,참깨수제비,닭봉갈릭조림,유기농식혜,,,17.2,0,73,7.84
24.04.17,설렁탕,깐풍만두,자두주스,,,14.2,6,71,9.59
24.04.18,새우야채죽,로제떡볶이,미니크로와상,요구르트,,15.9,0,79,7.96
24.04.19,얼큰미나리칼국수,백순대볶음,요플레,,,15.7,4,75,8.89
24.04.22,소고기뭇국,볼카츠,감자튀김,키위퓨레,,14.5,2.6,79,9.05
24.04.23,스팸부대찌개,언양식불고기,베이비채소,믹스견과류,,15.7,1,79,9.19
24.04.24,미니쌀국수,김치닭살주먹밥,알감자꼬치,짜먹는요구르트,,18.2,0,89,9.07
24.04.25,조랭이떡만둣국,돈육폭찹,캐플비타주스,,,14.4,2.2,74,9.64
24.04.26,광화문불향짬뽕,치킨텐더샐러드,제주청귤주스,,,14.5,0.1,77,8.92
24.04.29,치즈낙지김치죽,목화솜탕수육,모닝빵,사과맛요구르트,중간고사,18.5,37.8,82,12.63
24.04.30,꼬치어묵탕,제육볶음,양배추쌈,비타500젤리,,17.7,9.3,73,9.43
