날짜,메뉴1,메뉴2,메뉴3,메뉴4,메뉴5,비고,평균기온,강수량(mm),선호도,잔반량(kg)
24.03.04,불낙전골,유린기,딸기우유,,,,6.1,0,81,7.88
24.03.05,뼈없는감자탕,갈비만두,쥬시쿨,,,,6.5,0,78,7.65
24.03.06,닭매운탕,남도떡갈비볶음,허쉬초코우유,,,,5.3,7.5,71,12.68
24.03.07,매콤샤브칼국수,오리훈제볶음,컵과일,,,,5.4,0,81,8.5
24.03.08,광화문불향짬뽕,꿔바로우강정,떠먹는요구르트,,,,6.6,0,89,7.44
24.03.11,스팸부대찌개,삼겹꽈리볶음,바나나우유,,,,5.2,0,82,8.67
24.03.12,사골우거지탕,새우볼튀김,명란마요소스,액티비아,,,6.1,0,65,9.08
24.03.13,차돌순두부찌개,닭봉조림,얼라이브스위트자몽,,,,6.2,0,71,7.79
24.03.14,설렁탕,떡볶이,꼬마김말이,자유시간,요구르트,,6.5,0.5,80,7.6
24.03.15,불고기샤브샤브,짜조튀김(칠리소스),밀감푸딩,,,,7.6,3,71,8.07
24.03.18,사골떡만둣국,미니돈까스,아몬드브리즈,,,,8.3,0,82,6.34
24.03.19,소고기쌀국수,돈육폭찹,딸기우유,,,,9.6,0,83,5.72
24.03.20,꼬지어묵탕,매콤돈채피망볶음,또띠아쌈,티즐제로,,,9.3,0,79,5.06
24.03.21,순대돼지국밥,남도떡갈비볶음,초록매실,,,,5.8,0,79,8.14
24.03.22,고기짬뽕,유린기,짜요짜요,,,,9.8,0,85,5.34
24.03.25,치즈낙지김치죽,갈떡꼬치,모닝빵,흰우유,,,10.8,0,79,3.86
24.03.26,닭다리곰탕,메밀전병,피크닉청포도,,,,8.7,0,71,6.79
24.03.27,바지락수제비,주먹밥,고기속깻잎튀김,컵과일,,,8.2,17.5,72,14.85
24.03.28,뼈다귀해장국,수제소시지볶음,ABC주스,,,,7.9,0,79,7.5
24.03.29,전주식콩나물국밥,언양식불고기,파채무침,생크림요거트,,,11.2,0,71,4.11
