날짜,메뉴1,메뉴2,메뉴3,메뉴4,메뉴5,비고,평균기온,강수량(mm),선호도,잔반량(kg)
24.05.01,,,,,,근로자의 날,,,,
24.05.02,전주식콩나물국밥,고기속깻잎튀김,매실주스,,,중간고사,13.7,0.2,69,5.42
24.05.03,버섯계란국,햄야채주먹밥,떡볶이,김말이튀김,컵과일,,16.2,0,82,7.98
24.05.06,,,,,,어린이날 대체공휴일,,,,
24.05.07,떡갈비볶음밥,가쓰오장국,회오리감자,썬업오렌지주스컵,,,15.4,14.5,82,11.1
24.05.08,닭다리칼국수,납작군만두,플레인요거트,,,,13.6,1.5,81,5.81
24.05.09,차돌순두부찌개,미니돈까스,허쉬초코우유,,,,15.1,0,75,5.96
24.05.10,한국식마라탕,햄계란말이,도시락김,쌀미니약과,,,17.6,0,79,7.54
24.05.13,유부주머니우동,뿌링지파이,고마워감귤씨,,,,17.2,0,80,6.01
24.05.14,소고기미역국,햄김치볶음밥,콘참치마요,자몽허니블랙티,,,17.7,0,87,7.21
24.05.15,,,,,,부처님오신날,,,,
24.05.16,돼지순대국밥,야채고로케,바나나우유,,,,16.4,0.4,76,6.02
24.05.17,사골부대찌개,소보로콩나물밥(양념장),토핑요거트,,,,17.8,0.3,70,7.07
24.05.20,참치야채죽,떡볶이,어묵튀김,미니크로와상,두유,,20.7,8.4,88,10.67
24.05.21,미니쌀국수,불닭주먹밥,멘보샤,요구르트,,,19.6,8,83,9.99
24.05.22,꽃게된장찌개,고추장불고기,파채,제주한라봉퓨레,,,18.7,7,68,9.56
24.05.23,닭곰탕,모둠소세지볶음,카프리썬,,,,19.1,2.5,74,7.19
24.05.24,광화문불향짬뽕,명란군만두,커피우유,,,,22,0,80,7.34
24.05.27,땡초유부볶음밥,가쓰오장국,오징어문어핫바,토핑요거트,,,18.6,11.6,74,10.97
24.05.28,물떡꼬치어묵탕,훈제오리볶음,유기농식혜,,,,19.5,6.5,75,9.36
24.05.29,설렁탕,동그랑땡구이,미숫가루두유,,,,19.6,9.3,70,9.35
24.05.30,만두달걀국,돈육미니짜장,딸기우유,,,,19.4,0,79,7.1
24.05.31,얼큰미나리칼국수,팝콘치킨,레몬에이드,,,,21.5,2.3,77,7.81
