날짜,메뉴1,메뉴2,메뉴3,메뉴4,비고,평균기온,강수량(mm),선호도,잔반량(kg)
24.10.01,,,,,국군의날,,,,
24.10.02,소고기미역국,제육볶음,양배추쌈,포도맛요구르트,,20,7.5,74,9.29
24.10.03,,,,,개천절,,,,
24.10.04,광화문불향짬뽕,목화솜탕수육,이온더핏제로,,,16.8,10,87,7.19
24.10.07,스팸부대찌개,데리야끼닭강정,미숫가루두유,,,16.2,2.9,93,7.18
24.10.08,육개장칼국수,갈비만두,힘내파인애플씨,,,18.7,4.5,77,7.96
24.10.09,,,,,한글날,,,,
24.10.10,버섯된장국,서울식소불고기,컵과일,,,16.7,2.4,68,7.73
24.10.11,새우완탕면,후리가케밥,포테이토핫도그,커피우유,,16.8,3.9,86,8.62
24.10.14,치즈낙지김치죽,미니돈까스,모닝빵,오트몬드,,17.1,4.1,83,7.77
24.10.15,어묵우동국,고구마닭갈비,얼라이브자몽,,,16.6,0.5,71,8.15
24.10.16,뼈없는감자탕,청파래오징어까스,떠먹는요구르트,,,17.6,5.8,69,7.7
24.10.17,얼큰소고기뭇국,참치속깻잎튀김,덴마크딸기우유,,,16.4,8.6,69,7.72
24.10.18,닭곰탕,미니메밀전병,감귤앤한라봉,,,17.7,5.5,76,7.56
24.10.21,삼겹고추장찌개,궁중떡볶이,마시는요구르트,,,18.3,22.3,77,7.83
24.10.22,순대돼지국밥,김말이&고추튀김,알로에주스,,,19.6,9.1,73,7.1
24.10.23,소고기마파두부,새우짜조롤,꿀오란다바,,,19.6,5.2,70,7.48
24.10.24,옹심이만둣국,닭봉조림,야채가득v19,,,18.6,8.3,74,8.15
24.10.25,한국식마라탕,돈육강정,곤약젤리,,,20.4,10.2,74,7.83
24.10.28,사골오색떡국,언양식불고기,컵과일,,중간고사,14.3,9.4,74,7.94
24.10.29,광화문불향짬뽕,납작군만두(탕수소스),아몬드브리즈,,,15.2,8.9,84,8.14
24.10.30,땡초수제비국,해물삼겹두루치기,도시락김,주스,,18.1,2.2,73,8.83
24.10.31,닭야채죽,모둠소시지볶음,크로와상,요구르트,,18.6,2.6,79,8.48
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
