날짜,메뉴1,메뉴2,메뉴3,메뉴4,비고,평균기온,강수량(mm),선호도,잔반량(kg)
24.09.02,사골조랭이떡국,파인함박스테이크,썬업레드,,,26.6,0.1,75,9.32
24.09.03,광화문불향짬뽕,유린기,검은깨두유,,,25.3,0.3,86,8.81
24.09.04,닭다리곰탕,마라왕교자만두,한라봉퓨레,,,24.6,1,73,9.45
24.09.05,얼큰소고기뭇국,소시지야채볶음,컵과일,,,26.2,3.1,72,9.58
24.09.06,햄김치주먹밥,가쓰오유부장국,생선까스(콘소스),떠먹는요구르트,,26.4,10.4,79,11.52
24.09.09,땡초바지락수제비,제육김치볶음,카프리썬,,,27.2,3.8,77,9.47
24.09.10,마라탕,고기속깻잎튀김,아몬드&잣두유,,,28,2.1,79,9.4
24.09.11,설렁탕,회오리고구마,도시락김,야채가득v19,,25.8,9,76,10.5
24.09.12,모듬어묵국,눈꽃치즈찜닭,망고코코푸딩,,,26.3,6.6,82,9.26
24.09.13,야채닭죽,두부까스(데리야끼소스),크로와상,요구르트,,28.3,3.8,78,10.23
24.09.16,,,,,추석,,,,
24.09.17,,,,,,,,,
24.09.18,,,,,,,,,
24.09.19,계란만둣국,탕수육,티즐피치얼그레이,,,28.9,4.5,73,9.78
24.09.20,소고기오므라이스,오징어문어핫바,바나나맛우유,,,26.5,10.5,81,9.67
24.09.23,삼겹살김치찌개,너비아니야채볶음,곤약젤리사과,,,25.2,9,84,9.13
24.09.24,사골떡국,닭살순대볶음,유기농식혜,,,20.1,8,80,8.9
24.09.25,카레덮밥,치킨샐러드,오렌지주스,,,22,5.8,71,9.36
24.09.26,소고기우거지국,새우볼튀김,떠먹는요구르트,,,23,6.3,70,10.51
24.09.27,베이컨주먹밥,떡볶이,어묵튀김,두유,,21.3,3.5,79,9.06
24.09.30,차돌순두부찌개,납작군만두,허쉬초코우유,,,20.6,2.3,73,9.39
